,Title,Author,TitleMain,Subtitle
2635,"Mayo Clinic A to Z health guide / edited by Scott C. Litin, M.D.",,Mayo Clinic A to Z health guide ," edited by Scott C. Litin, M.D."
2662,"Western home landscaping : from the Rockies to the Pacific Coast, from the Southwestern US to British Columbia / [consultants, Roger Holmes ... and others].",,"Western home landscaping : from the Rockies to the Pacific Coast, from the Southwestern US to British Columbia "," [consultants, Roger Holmes ... and others]."
2681,Olympic mountains / Jefferson County Historical Society.,,Olympic mountains , Jefferson County Historical Society.
2693,"African American literary criticism, 1773 to 2000 / edited by Hazel Arnett Ervin.",,"African American literary criticism, 1773 to 2000 ", edited by Hazel Arnett Ervin.
2730,"Fantastic fungi : how mushrooms can heal, shift consciousness & save the planet / edited and introduced by Paul Stamets ; afterword by Louie Schwartzberg ; essays and interviews from the world's leading experts including Michael Pollan [and others].",,"Fantastic fungi : how mushrooms can heal, shift consciousness & save the planet ", edited and introduced by Paul Stamets ; afterword by Louie Schwartzberg ; essays and interviews from the world's leading experts including Michael Pollan [and others].
2744,Lit from inside : 40 years of poetry from Alice James Books / edited by Anne Marie Macari & Carey Salerno ; foreword by Maxine Kumin.,,Lit from inside : 40 years of poetry from Alice James Books , edited by Anne Marie Macari & Carey Salerno ; foreword by Maxine Kumin.
2773,Olympic Sculpture Park for the Seattle Art Museum : Weiss/Manfredi / edited by Joan Busquets.,,Olympic Sculpture Park for the Seattle Art Museum : Weiss,Manfredi / edited by Joan Busquets.
2785,About us : essays from the Disability Series of the New York Times / edited and introduced by Peter Catapano and Rosemarie Garland-Thomson ; foreword by Andrew Solomon.,,About us : essays from the Disability Series of the New York Times , edited and introduced by Peter Catapano and Rosemarie Garland-Thomson ; foreword by Andrew Solomon.
2801,"The ultimate Peter Rabbit : a visual guide to the world of Beatrix Potter / [senior editor, Elizabeth Dowsett ; US editor, Allison Singer].",,The ultimate Peter Rabbit : a visual guide to the world of Beatrix Potter ," [senior editor, Elizabeth Dowsett ; US editor, Allison Singer]."
2802,The world book encyclopedia.,,The world book encyclopedia.,
2830,Nickelodeon 5-minute stories collection.,,Nickelodeon 5-minute stories collection.,
2851,Oxford American large print dictionary.,,Oxford American large print dictionary.,
2882,"Who's who in television and cable / Steven H. Scheuer, editor.",,Who's who in television and cable ," Steven H. Scheuer, editor."
2885,Peterson's master the GED test 2019.,,Peterson's master the GED test 2019.,
2900,"Jacob Lawrence : the American struggle / edited by Elizabeth Hutton Turner and Austen Barron Bailly ; with contributions by Derrick Adams, Sandy Alexandre [and others].",,Jacob Lawrence : the American struggle ," edited by Elizabeth Hutton Turner and Austen Barron Bailly ; with contributions by Derrick Adams, Sandy Alexandre [and others]."
2902,Policing the planet : why the policing crisis led to black lives matter / edited by Jordan T. Camp and Christina Heatherton.,,Policing the planet : why the policing crisis led to black lives matter , edited by Jordan T. Camp and Christina Heatherton.
2909,The rough guide to Spain / updated by Simon Baskett ... [and others].,,The rough guide to Spain , updated by Simon Baskett ... [and others].
2917,Film & politics in the Third World / edited by John D.H. Downing.,,Film & politics in the Third World , edited by John D.H. Downing.
2958,"Lonely Planet's wonders of the world : 101 great sights and how to see them on any budget / [written by Oliver Berry (Europe), Joe Bindloss (Asia, Oceania), Mark Johanson (South America, Polar), Matt Phillips (Africa & the Middle East), Karla Zimmerman (North America)].",,Lonely Planet's wonders of the world : 101 great sights and how to see them on any budget ," [written by Oliver Berry (Europe), Joe Bindloss (Asia, Oceania), Mark Johanson (South America, Polar), Matt Phillips (Africa & the Middle East), Karla Zimmerman (North America)]."
2963,Queer magic : power beyond boundaries / edited by Lee Harrington and Tai Fenix Kulystin.,,Queer magic : power beyond boundaries , edited by Lee Harrington and Tai Fenix Kulystin.
2970,"Stop the thyroid madness. II : how thyroid experts are challenging ineffective treatments and improving the lives of patients / Janie A. Bowthorpe, editor ; authors, Paige Adams [and others].",,Stop the thyroid madness. II : how thyroid experts are challenging ineffective treatments and improving the lives of patients ," Janie A. Bowthorpe, editor ; authors, Paige Adams [and others]."
2974,Che in verse / edited by Gavin O'Toole and Georgina Jiménez.,,Che in verse , edited by Gavin O'Toole and Georgina Jiménez.
3007,Learn to draw Disney Frozen / illustrated by the Disney Storybook Artists.,,Learn to draw Disney Frozen , illustrated by the Disney Storybook Artists.
3009,50 states : our America / by the editors of Time for Kids magazine ; with John H. Maher III ; illustrations by Aaron Meshon.,,50 states : our America , by the editors of Time for Kids magazine ; with John H. Maher III ; illustrations by Aaron Meshon.
3012,"Emerging from Communism : lessons from Russia, China, and Eastern Europe / edited by Peter Boone, Stanislaw Gomulka, and Richard Layard.",,"Emerging from Communism : lessons from Russia, China, and Eastern Europe "," edited by Peter Boone, Stanislaw Gomulka, and Richard Layard."
3029,Building transit ridership : an exploration of transit's market share and the public policies that influence it / Charles River Associates.,,Building transit ridership : an exploration of transit's market share and the public policies that influence it , Charles River Associates.
3077,52 Seattle adventures with kids : a four season guide / ParentMap ; edited by Elisa Murray.,,52 Seattle adventures with kids : a four season guide , ParentMap ; edited by Elisa Murray.
3082,"The Seattle Times guide to schools : high school, middle school, junior high / edited by Katherine Long.",,"The Seattle Times guide to schools : high school, middle school, junior high ", edited by Katherine Long.
3085,"Advertising to children : concepts and controversies / M. Carole Macklin, Les Carlson, editors.",,Advertising to children : concepts and controversies ," M. Carole Macklin, Les Carlson, editors."
3115,Health security preliminary plan summary.,,Health security preliminary plan summary.,
3150,Plays for two / edited by Eric Lane and Nina Shengold.,,Plays for two , edited by Eric Lane and Nina Shengold.
3151,Henry in the dark.,,Henry in the dark.,
3154,Yacht clubs of the world / text by Bruno Cianci and Nicolò Reggio ; [by the editors of Yacht & Sail ; introduction by Paul Cayard].,,Yacht clubs of the world , text by Bruno Cianci and Nicolò Reggio ; [by the editors of Yacht & Sail ; introduction by Paul Cayard].
3158,"Bedrock geologic map of the El Paso Mountains in the Garlack and El Paso Peaks 7-1/2 quadrangles, Kern County, California / by Michael D. Carr... [and others] ; U.S. Department of the Interior, U.S. Geological Survey.",,Bedrock geologic map of the El Paso Mountains in the Garlack and El Paso Peaks 7-1,"2 quadrangles, Kern County, California / by Michael D. Carr... [and others] ; U.S. Department of the Interior, U.S. Geological Survey."
3164,"A history of the county of Durham. Volume V, Sunderland / edited by Gillian Cookson.",,"A history of the county of Durham. Volume V, Sunderland ", edited by Gillian Cookson.
3175,Alfred Stieglitz's Camera notes / [edited by] Christian A. Peterson.,,Alfred Stieglitz's Camera notes , [edited by] Christian A. Peterson.
3200,The Moth presents occasional magic : true stories of defying the impossible / edited by Catherine Burns.,,The Moth presents occasional magic : true stories of defying the impossible , edited by Catherine Burns.
3211,"Picturing atrocity : photography in crisis / edited by Geoffrey Batchen, Mick Gidley, Nancy K. Miller ; Jay Prosser, principal editor.",,Picturing atrocity : photography in crisis ," edited by Geoffrey Batchen, Mick Gidley, Nancy K. Miller ; Jay Prosser, principal editor."
3221,"1001 children's books you must read before you grow up / general editor, Julia Eccleshare ; preface by Quentin Blake.",,1001 children's books you must read before you grow up ," general editor, Julia Eccleshare ; preface by Quentin Blake."
3255,"Upending American politics : polarizing parties, ideological elites, and citizen activists from the Tea Party to the anti-Trump resistance / edited by Theda Skocpol and Caroline Tervo.",,"Upending American politics : polarizing parties, ideological elites, and citizen activists from the Tea Party to the anti-Trump resistance ", edited by Theda Skocpol and Caroline Tervo.
3261,"All the women in my family sing : women write the world--essays on equality, justice, and freedom / edited by Deborah Santana.",,"All the women in my family sing : women write the world--essays on equality, justice, and freedom ", edited by Deborah Santana.
3276,The essential writings of Christian mysticism / edited and with an introduction by Bernard McGinn.,,The essential writings of Christian mysticism , edited and with an introduction by Bernard McGinn.
3281,The Brothers Grimm fisherman and his wife / illustrated by Alan Marks ; translated by Anthea Bell.,,The Brothers Grimm fisherman and his wife , illustrated by Alan Marks ; translated by Anthea Bell.
3302,"Divine food : Israeli and Palestinian food culture and recipes / edited by David Haliva, Sven Ehmann, and Robert Klanten ; translation from Hebrew: Tali Kord.",,Divine food : Israeli and Palestinian food culture and recipes ," edited by David Haliva, Sven Ehmann, and Robert Klanten ; translation from Hebrew: Tali Kord."
3333,Spectrum science. Grade 4.,,Spectrum science. Grade 4.,
3346,Bloom & blossom : the reader's guide to gardening / edited by Mary Swander.,,Bloom & blossom : the reader's guide to gardening , edited by Mary Swander.
3403,"Seattle and Eastside private school guide : including independent, parochial and religious schools for Seattle, the Eastside, south King County, Southern Snohomish, Mercer Island, Bainbridge and Vashon Islands / Marie Bonfils, Editor.",,"Seattle and Eastside private school guide : including independent, parochial and religious schools for Seattle, the Eastside, south King County, Southern Snohomish, Mercer Island, Bainbridge and Vashon Islands "," Marie Bonfils, Editor."
3404,13 1/2 incredible things you need to know about everything.,,13 1,2 incredible things you need to know about everything.
3419,Noodlehead stories : world tales kids can read & tell / retold by Martha Hamilton and Mitch Weiss ; illustrations by Ariane Elsammak.,,Noodlehead stories : world tales kids can read & tell , retold by Martha Hamilton and Mitch Weiss ; illustrations by Ariane Elsammak.
3423,Patterns for papers.,,Patterns for papers.,
3429,Fishy tales.,,Fishy tales.,
3432,CQ researcher on controversies in law and society.,,CQ researcher on controversies in law and society.,
3561,The Bible : Authorized King James Version / edited with an introduction and notes by Robert Carroll and Stephen Prickett.,,The Bible : Authorized King James Version , edited with an introduction and notes by Robert Carroll and Stephen Prickett.
3573,The Penguin anthology of twentieth-century American poetry / edited with an introduction by Rita Dove.,,The Penguin anthology of twentieth-century American poetry , edited with an introduction by Rita Dove.
3631,Yellow peril! : an archive of anti-Asian fear / edited and introduced by John Kuo Wei Tchen and Dylan Yeats.,,Yellow peril! : an archive of anti-Asian fear , edited and introduced by John Kuo Wei Tchen and Dylan Yeats.
3661,Yours always [symbol of a kiss] : letters of longing / edited by Eleanor Bass.,,Yours always [symbol of a kiss] : letters of longing , edited by Eleanor Bass.
3665,"Facts about China / edited by Xiao-bin Ji ; contributors, Eric Dalle ... [and others].",,Facts about China ," edited by Xiao-bin Ji ; contributors, Eric Dalle ... [and others]."
3678,"The Brandywine heritage: Howard Pyle, N. C. Wyeth, Andrew Wyeth, James Wyeth.",,"The Brandywine heritage: Howard Pyle, N. C. Wyeth, Andrew Wyeth, James Wyeth.",
3692,"Stop, train, stop! : a Thomas the Tank Engine story / illustrated by Owain Bell.",,"Stop, train, stop! : a Thomas the Tank Engine story ", illustrated by Owain Bell.
3693,"Chilton Book Company repair manual. Chevy/GMC pick-ups and Suburbans, 1970-87 : all U.S. and Canadian models of 1/2, 3/4, and 1 ton pick-ups and Suburbans, 2- and 4-wheel drive, including diesel engines / senior editor, Richard J. Rivele ; senior editor, W. Calvin Settle, Jr. ; editor, Martin J. Gunther.",,Chilton Book Company repair manual. Chevy,"GMC pick-ups and Suburbans, 1970-87 : all U.S. and Canadian models of 1/2, 3/4, and 1 ton pick-ups and Suburbans, 2- and 4-wheel drive, including diesel engines / senior editor, Richard J. Rivele ; senior editor, W. Calvin Settle, Jr. ; editor, Martin J. Gunther."
3694,Moche art and archaeology in ancient Peru / edited by Joanne Pillsbury.,,Moche art and archaeology in ancient Peru , edited by Joanne Pillsbury.
3710,The complete make-ahead cookbook : from appetizers to desserts : 500 recipes you can make in advance / the editors at America's Test Kitchen.,,The complete make-ahead cookbook : from appetizers to desserts : 500 recipes you can make in advance , the editors at America's Test Kitchen.
3725,World's best bowl food : where to find it and how to make it / written by Kate Armstrong [and 27 others].,,World's best bowl food : where to find it and how to make it , written by Kate Armstrong [and 27 others].
3745,"On stage, America! : a selection of distinctly American plays / edited and introduced by Walter J. Meserve.",,"On stage, America! : a selection of distinctly American plays ", edited and introduced by Walter J. Meserve.
3775,Days like this : a collection of small poems / selected and illustrated by Simon James.,,Days like this : a collection of small poems , selected and illustrated by Simon James.
3785,How super cool tech works.,,How super cool tech works.,
3794,Mingei : masterpieces of Japanese folkcraft.,,Mingei : masterpieces of Japanese folkcraft.,
3831,"Putting the science in fiction : expert advice for writing with authenticity in science fiction, fantasy, & other genres / edited by Dan Koboldt ; foreword by Chuck Wendig.",,"Putting the science in fiction : expert advice for writing with authenticity in science fiction, fantasy, & other genres ", edited by Dan Koboldt ; foreword by Chuck Wendig.
3838,Why a curveball curves : the incredible science of sports / edited by Frank Vizard ; foreward by Robert Lipsyte.,,Why a curveball curves : the incredible science of sports , edited by Frank Vizard ; foreward by Robert Lipsyte.
3865,"Spanish painters in search of light, 1850-1950 / [catalogue editor, Santiago Saavedra].",,"Spanish painters in search of light, 1850-1950 "," [catalogue editor, Santiago Saavedra]."
3871,"Drawing shadows to stone : the photography of the Jesup North Pacific Expedition 1897-1902 / Laurel Kendall, Barbara Mathe, Thomas Ross Miller ; with Stanley A. Freed, Ruth S. Freed & Laila Williamson.",,Drawing shadows to stone : the photography of the Jesup North Pacific Expedition 1897-1902 ," Laurel Kendall, Barbara Mathe, Thomas Ross Miller ; with Stanley A. Freed, Ruth S. Freed & Laila Williamson."
3874,Transcendent 3 : the year's best transgender speculative fiction / edited by Bogi Takács.,,Transcendent 3 : the year's best transgender speculative fiction , edited by Bogi Takács.
3899,"The figure in clay : contemporary sculpting techniques by master artists, Arleo, Boger, Burns, Gonzalez, Jeck, Novak, Smith, Takamori, Walsh / editor, Suzanne J..E. Tourtillott.",,"The figure in clay : contemporary sculpting techniques by master artists, Arleo, Boger, Burns, Gonzalez, Jeck, Novak, Smith, Takamori, Walsh "," editor, Suzanne J..E. Tourtillott."
3924,"Thank you, teacher : grateful students tell the stories of the teachers who changed their lives / edited by Holly and Bruce Holbert.",,"Thank you, teacher : grateful students tell the stories of the teachers who changed their lives ", edited by Holly and Bruce Holbert.
3925,Collins Chinese dictionary = Ying Han-Han Ying ci dian / [editorial team Marianne Davidson ... and others].,,Collins Chinese dictionary = Ying Han-Han Ying ci dian , [editorial team Marianne Davidson ... and others].
3934,"The long distance runner's guide to injury prevention and treatment : how to avoid common problems and deal with them when they happen / edited by Brian J. Krabak, MD, MBA, FACSM, Grant S. Lipman, MD, FACEP, and Brandee L. Waite, MD, FAAPMR.",,The long distance runner's guide to injury prevention and treatment : how to avoid common problems and deal with them when they happen ," edited by Brian J. Krabak, MD, MBA, FACSM, Grant S. Lipman, MD, FACEP, and Brandee L. Waite, MD, FAAPMR."
3953,Disney 5-minute classic stories.,,Disney 5-minute classic stories.,
3961,"The public library / a photographic essay by Robert Dawson ; forereword by Bill Moyers ; afterword by Ann Patchett ; with reflections by Isaac Asimov, Barbara Kingsolver, Anne Lamott, Philip Levine, Dr. Seuss, Charles Simic, Amy Tan, E.B. White, and others.",,The public library ," a photographic essay by Robert Dawson ; forereword by Bill Moyers ; afterword by Ann Patchett ; with reflections by Isaac Asimov, Barbara Kingsolver, Anne Lamott, Philip Levine, Dr. Seuss, Charles Simic, Amy Tan, E.B. White, and others."
3980,The moon's time to shine.,,The moon's time to shine.,
3994,Cry out : poets protest the war / Julia Alvarez ... [and others].,,Cry out : poets protest the war , Julia Alvarez ... [and others].
4008,Knit Noro : 30 designs in living color.,,Knit Noro : 30 designs in living color.,
4010,Indians in Washington : Indian tribes and reservations in Washington.,,Indians in Washington : Indian tribes and reservations in Washington.,
4025,Pete the Cat. Pete at the beach / created by James Dean.,,Pete the Cat. Pete at the beach , created by James Dean.
4038,The Hmong / text by Robert Cooper ... [and others] ; drawings by Nanthapa Cooper.,,The Hmong , text by Robert Cooper ... [and others] ; drawings by Nanthapa Cooper.
4061,Ultimate weird but true.,,Ultimate weird but true.,
4155,Growing up Asian American : an anthology / edited and with an introduction by Maria Hong ; afterword by Stephen H. Sumida.,,Growing up Asian American : an anthology , edited and with an introduction by Maria Hong ; afterword by Stephen H. Sumida.
4179,Civics flash cards for the naturalization test.,,Civics flash cards for the naturalization test.,
4180,"Feasting and fasting : the history and ethics of Jewish food / edited by Aaron S. Gross, Jody Myers, and Jordan D. Rosenblum ; with a foreword by Hasia Diner ; and an afterword by Jonathan Safran Foer.",,Feasting and fasting : the history and ethics of Jewish food ," edited by Aaron S. Gross, Jody Myers, and Jordan D. Rosenblum ; with a foreword by Hasia Diner ; and an afterword by Jonathan Safran Foer."
4205,Chicken soup for the soul. Raising kids on the spectrum : 101 inspirational stories for parents of children with autism and Asperger's / [compiled by] Rebecca Landa ... [and others] ; [introduction by Rebecca Landa].,,Chicken soup for the soul. Raising kids on the spectrum : 101 inspirational stories for parents of children with autism and Asperger's , [compiled by] Rebecca Landa ... [and others] ; [introduction by Rebecca Landa].
4237,In harmony : the Norma Jean Calderwood collection of Islamic art / edited by Mary McWilliams ; with essays by Jessica Chloros ... [and others],,In harmony : the Norma Jean Calderwood collection of Islamic art , edited by Mary McWilliams ; with essays by Jessica Chloros ... [and others]
4272,Can a bee sting a bee? : and other big questions from little people-- / compiled by Gemma Elwin Harris.,,Can a bee sting a bee? : and other big questions from little people-- , compiled by Gemma Elwin Harris.
4286,"Jerusalem, 1000-1400 : every people under heaven / edited by Barbara Drake Boehm and Melanie Holcomb.",,"Jerusalem, 1000-1400 : every people under heaven ", edited by Barbara Drake Boehm and Melanie Holcomb.
4307,"Readings on The plague / Jesse G. Cunningham, book editor.",,Readings on The plague ," Jesse G. Cunningham, book editor."
4336,Sing a song of seasons / illustrated by Frann Preston-Gannon ; selected by Fiona Waters.,,Sing a song of seasons , illustrated by Frann Preston-Gannon ; selected by Fiona Waters.
4342,I never told anyone : writings by women survivors of child sexual abuse / edited by Ellen Bass and Louise Thornton ; with Jude Brister [and others ; with a new afterword by Ellen Bass].,,I never told anyone : writings by women survivors of child sexual abuse , edited by Ellen Bass and Louise Thornton ; with Jude Brister [and others ; with a new afterword by Ellen Bass].
4358,America and the daguerreotype / edited by John Wood.,,America and the daguerreotype , edited by John Wood.
4362,Voices : poetry and art from around the world / selected by Barbara Brenner.,,Voices : poetry and art from around the world , selected by Barbara Brenner.
4431,Trolls 5-minute stories / cover illustration by Joe Mathieu.,,Trolls 5-minute stories , cover illustration by Joe Mathieu.
4449,Voices of my comrades : America's Reserve officers remember World War II / edited by Carol Adele Kelly.,,Voices of my comrades : America's Reserve officers remember World War II , edited by Carol Adele Kelly.
4456,"Man-made wonders of the world / foreword by Dan Cruickshank ; [contributors, Simon Adams [and 10 others] ; consultants, Dr Andrew Law, Professor Ola Uduku].",,Man-made wonders of the world ," foreword by Dan Cruickshank ; [contributors, Simon Adams [and 10 others] ; consultants, Dr Andrew Law, Professor Ola Uduku]."
4461,"Can we all be feminists? : new writing from Brit Bennett, Nicole Dennis-Benn, and 15 others on intersectionality, identity, and the way forward for feminism / edited by June Eric-Udorie.",,"Can we all be feminists? : new writing from Brit Bennett, Nicole Dennis-Benn, and 15 others on intersectionality, identity, and the way forward for feminism ", edited by June Eric-Udorie.
4492,Movie talk : who said what about whom in the movies / [compiled by] David Shipman.,,Movie talk : who said what about whom in the movies , [compiled by] David Shipman.
4507,"Lunch bags! : 25 handmade sacks & wraps to sew today / [editors, Ann Haley and Cynthia Bix].",,Lunch bags! : 25 handmade sacks & wraps to sew today ," [editors, Ann Haley and Cynthia Bix]."
4537,Cracking the AP European history exam / the staff of the Princeton Review.,,Cracking the AP European history exam , the staff of the Princeton Review.
4588,Second generation voices : reflections by children of Holocaust survivors and perpetrataors / edited by Alan L. Berger and Naomi Berger.,,Second generation voices : reflections by children of Holocaust survivors and perpetrataors , edited by Alan L. Berger and Naomi Berger.
4644,"McGraw-Hill Education Pre-GED / McGraw-Hill Education, editors.",,McGraw-Hill Education Pre-GED ," McGraw-Hill Education, editors."
4703,"Snoop Dogg : Reincarnated / Snoop Lion ; photos by Willie T. ; [foreword, Ted Chung and Suroosh Alvi].",,Snoop Dogg : Reincarnated ," Snoop Lion ; photos by Willie T. ; [foreword, Ted Chung and Suroosh Alvi]."
4727,"Kindergarten phonics & ABCs / by the editors of Brain Quest ; consulting editor, Dale Blaess.",,Kindergarten phonics & ABCs ," by the editors of Brain Quest ; consulting editor, Dale Blaess."
4759,"Unicorns, dragons and more : fantasy amigurumi.",,"Unicorns, dragons and more : fantasy amigurumi.",
4828,The Homeless problem / edited by Matthew A. Kraljic.,,The Homeless problem , edited by Matthew A. Kraljic.
4840,Italian fashion.,,Italian fashion.,
4864,"Marrying my cowboy / Diana Palmer, Lindsay McKenna, Kate Pearce.",,Marrying my cowboy ," Diana Palmer, Lindsay McKenna, Kate Pearce."
4865,Edible Seattle : the cookbook / edited by Jill Lightner ; photographs by Carole Topalian.,,Edible Seattle : the cookbook , edited by Jill Lightner ; photographs by Carole Topalian.
4891,The World guide to automobile manufacturers / Nick Baldwin ... [and others].,,The World guide to automobile manufacturers , Nick Baldwin ... [and others].
4895,National Geographic night vision : magical photographs of life after dark / [compiled by] Susan Tyler Hitchcock ; foreword by Diane Cook and Len Jenshel.,,National Geographic night vision : magical photographs of life after dark , [compiled by] Susan Tyler Hitchcock ; foreword by Diane Cook and Len Jenshel.
4908,"500 Judaica : innovative contemporary ritual art / [senior editor, Ray Hemachandra ; editor, Julie Hale].",,500 Judaica : innovative contemporary ritual art ," [senior editor, Ray Hemachandra ; editor, Julie Hale]."
4926,Under pressure : cooking sous vide / Thomas Keller ... [and others] ; photography by Deborah Jones ; introduction by Harold McGee.,,Under pressure : cooking sous vide , Thomas Keller ... [and others] ; photography by Deborah Jones ; introduction by Harold McGee.
4960,Rotary tiller service manual.,,Rotary tiller service manual.,
5111,Pete the Cat. Pete's big lunch / created by James Dean.,,Pete the Cat. Pete's big lunch , created by James Dean.
5132,"EW:100 : centennial essays in honor of Edward Weston / edited by Peter C. Bunnell, David Featherstone ; contributors, Robert Adams ... [and others].",,EW:100 : centennial essays in honor of Edward Weston ," edited by Peter C. Bunnell, David Featherstone ; contributors, Robert Adams ... [and others]."
5156,"Children's illustrated encyclopedia / senior editor, Ann Kramer ; senior art editor, Miranda Kennedy.",,Children's illustrated encyclopedia ," senior editor, Ann Kramer ; senior art editor, Miranda Kennedy."
5167,Complete decks : plan & build your dream deck.,,Complete decks : plan & build your dream deck.,
5191,Copycat restaurant favorites.,,Copycat restaurant favorites.,
5192,The writer's map : an atlas of imaginary lands / edited by Huw Lewis-Jones ; [prologue by Philip Pullman].,,The writer's map : an atlas of imaginary lands , edited by Huw Lewis-Jones ; [prologue by Philip Pullman].
5216,"Concise Oxford Spanish dictionary : Spanish-English/English-Spanish / chief editors, Carol Styles Carvajal, Jane Horwood.",,Concise Oxford Spanish dictionary : Spanish-English,"English-Spanish / chief editors, Carol Styles Carvajal, Jane Horwood."
5217,Voyages of discovery : essays on the Lewis and Clark Expedition / edited with introduction and afterword by James P. Ronda.,,Voyages of discovery : essays on the Lewis and Clark Expedition , edited with introduction and afterword by James P. Ronda.
5227,"Around the way girls 6 / Meisha Camm, Mark Anthony, Rahsaan Ali.",,Around the way girls 6 ," Meisha Camm, Mark Anthony, Rahsaan Ali."
5248,"The complete guitar manual / [editors, Marek Walisiewicz ... [and others]].",,The complete guitar manual ," [editors, Marek Walisiewicz ... [and others]]."
5250,Jewish pastoral care : a practical handbook from traditional and contemporary sources / edited by Dayle A. Friedman.,,Jewish pastoral care : a practical handbook from traditional and contemporary sources , edited by Dayle A. Friedman.
5270,Slavery time when I was chillun / [edited by] Belinda Hurmence.,,Slavery time when I was chillun , [edited by] Belinda Hurmence.
5308,"The ecology book / foreword by Tony Juniper ; [contributors: Julia Schroeder, Celia Coyne, John Farndon, Tim Harris, Derek Harvey, Tom Jackson, Alison Singer].",,The ecology book ," foreword by Tony Juniper ; [contributors: Julia Schroeder, Celia Coyne, John Farndon, Tim Harris, Derek Harvey, Tom Jackson, Alison Singer]."
5343,"The philosophy book / [contributors, Will Buckingham ... [and others]].",,The philosophy book ," [contributors, Will Buckingham ... [and others]]."
5346,My body belongs to me from my head to my toes / created by proFamilia ; illustrated by Dagmar Geisler ; [translated by Connie Stradling Morby] ; preface by International Center for Assault Prevention.,,My body belongs to me from my head to my toes , created by proFamilia ; illustrated by Dagmar Geisler ; [translated by Connie Stradling Morby] ; preface by International Center for Assault Prevention.
5355,Disney classics my first bedtime storybook.,,Disney classics my first bedtime storybook.,
5370,"Masterplots / edited by Frank N. Magill ; consulting editor, Laurence W. Mazzeno.",,Masterplots ," edited by Frank N. Magill ; consulting editor, Laurence W. Mazzeno."
5383,(Don't) call me crazy : 33 voices start the conversation about mental health / edited by Kelly Jensen.,,(Don't) call me crazy : 33 voices start the conversation about mental health , edited by Kelly Jensen.
5394,"The Garfield show. #7, ""Desperately seeking Pooky"" / written by Peter Berts, Julien Magnat, Baptiste Heidrich, Julien Monthiel] ; based on the original characters created by Jim Davis.",,"The Garfield show. #7, ""Desperately seeking Pooky"" "," written by Peter Berts, Julien Magnat, Baptiste Heidrich, Julien Monthiel] ; based on the original characters created by Jim Davis."
5405,"Do all Indians live in tipis? : questions and answers from the National Museum of the American Indian / Smithsonian Books in association with the National Museum of the American Indian, Smithsonian Institution.",,Do all Indians live in tipis? : questions and answers from the National Museum of the American Indian ," Smithsonian Books in association with the National Museum of the American Indian, Smithsonian Institution."
5409,Forward : 21st century flash fiction / edited by Megan Giddings.,,Forward : 21st century flash fiction , edited by Megan Giddings.
5494,The power of pro bono : 40 stories about design for the public good by architects and their clients / edited by John Cary and Public Architecture ; foreword by Majora Carter.,,The power of pro bono : 40 stories about design for the public good by architects and their clients , edited by John Cary and Public Architecture ; foreword by Majora Carter.
5561,Greatest animal stories / chosen by Michael Morpurgo.,,Greatest animal stories , chosen by Michael Morpurgo.
5578,"Everyday white people confront racial & social injustice : 15 stories / edited by Eddie Moore, Jr., Marguerite W. Penick-Parks, and Ali Michael.",,Everyday white people confront racial & social injustice : 15 stories ," edited by Eddie Moore, Jr., Marguerite W. Penick-Parks, and Ali Michael."
5595,"Photo inspiration : secrets behind stunning images / 1X.com ; [acquisitions editor, Courtney Allen ; project editor, Dianne Russell].",,Photo inspiration : secrets behind stunning images ," 1X.com ; [acquisitions editor, Courtney Allen ; project editor, Dianne Russell]."
5597,Secret journeys of a lifetime : 500 of the world's best hidden travel gems / introduction by Keith Bellows.,,Secret journeys of a lifetime : 500 of the world's best hidden travel gems , introduction by Keith Bellows.
5621,"Tamamo the Fox Maiden and other Asian stories / editors: C. Spike Trotman, Kate Ashwin, Kel McDonald.",,Tamamo the Fox Maiden and other Asian stories ," editors: C. Spike Trotman, Kate Ashwin, Kel McDonald."
5638,Dress like a woman : working women and what they wore / foreword by Roxane Gay ; introduction by Vanessa Friedman.,,Dress like a woman : working women and what they wore , foreword by Roxane Gay ; introduction by Vanessa Friedman.
5660,"Stars above, earth below : American Indians and nature / edited by Marsha C. Bol.",,"Stars above, earth below : American Indians and nature ", edited by Marsha C. Bol.
5671,The American Heritage student science dictionary.,,The American Heritage student science dictionary.,
5685,"Scratch : writers, money, and the art of making a living / edited by Manjula Martin.",,"Scratch : writers, money, and the art of making a living ", edited by Manjula Martin.
5690,Press start to play / edited by Daniel H. Wilson and John Joseph Adams ; [foreward by Ernest Cline].,,Press start to play , edited by Daniel H. Wilson and John Joseph Adams ; [foreward by Ernest Cline].
5709,Merriam-Webster's French-English dictionary.,,Merriam-Webster's French-English dictionary.,
5745,"Kodansha's furigana Japanese dictionary : Japanese-English, English-Japanese / [hensha Yoshida Masatoshi, Nakamura Yoshikatsu].",,"Kodansha's furigana Japanese dictionary : Japanese-English, English-Japanese "," [hensha Yoshida Masatoshi, Nakamura Yoshikatsu]."
5761,The giant encyclopedia of circle time and group activities for children 3 to 6 : over 600 favorite circle time activities created by teachers for teachers / edited by Kathy Charner.,,The giant encyclopedia of circle time and group activities for children 3 to 6 : over 600 favorite circle time activities created by teachers for teachers , edited by Kathy Charner.
